NAME,STRUCTURE,KEY SIZE (bits),SECURITY/STRENGTH LEVEL,COMMON USE,PROCESSING TIME,BLOCK SIZE (bits),Is it standardized?,Suitability for low power or constrained devices?,Suitable for TLS and VPN,Suitable for storage,Suitable for high throughput streaming,Hardware acceleration,Common vulnerabilities / attacks,Sources
KATAN,Feistel,80,Medium,Lightweight / IoT,Slow,64,No,Yes,No,No,No,High,Some reduced-round cryptanalysis; small block variants give limited security margin.,https://www.researchgate.net/publication/225990394_KATAN_and_KTANTAN-a_family_of_small_and_efficient_hardware-oriented_block_ciphers
SPECK,ARX-based,"128, 192, 256",High,Lightweight / IoT,Fast,128,Yes,Yes,No,Limited,Yes,High,Active reduced round cryptanalysis; no practical attacks on full recommended variants.,https://www.researchgate.net/publication/283470225_The_SIMON_and_SPECK_lightweight_block_ciphers
HIGHT,Generalized Feistel,128,Medium,Lightweight / IoT,Slow,64,Yes,Yes,No,Limited,No,High,Reduced round attacks; 64 bit block; designed for about 80 bit security.,https://link.springer.com/chapter/10.1007/11894063_4?
SIMON,Feistel,128,High,Lightweight / IoT,Medium,128,Yes,Yes,No,Limited,Limited,Medium,Many reduced round attacks; parameters chosen with modest margin; no full practical break.,https://www.researchgate.net/publication/283470225_The_SIMON_and_SPECK_lightweight_block_ciphers
PRINCE,SPN,"96, 128",Medium,Lightweight / IoT,Medium,64,No,Yes,No,Limited,Limited,High,Intentionally small margin; near full round attacks and biclique techniques; still impractical.,https://en.wikipedia.org/wiki/Prince_%28cipher%29?
AES,SPN,"128, 192, 256",High,Modern general purpose,Fast,128,Yes,Limited,Yes,Yes,Yes,High,Only reduced round and side channel attacks; no practical break on full rounds.,https://csrc.nist.gov/pubs/fips/197/final
Twofish,Feistel,"128, 192, 256",High,Modern general purpose,Fast,128,No,Limited,Limited,Yes,Yes,Medium,Only reduced round cryptanalysis; no practical attacks on full cipher.,https://people.eecs.berkeley.edu/~daw/papers/twofish-aes98.pdf
Serpent,SPN,"128, 192, 256",High,Modern general purpose,Medium,128,No,Limited,No,Yes,Limited,Medium,Only reduced round attacks; very large security margin; no practical break.,https://www.cl.cam.ac.uk/archive/rja14/Papers/serpent.pdf
Camellia,Feistel,"128, 192, 256",High,Modern general purpose,Fast,128,Yes,Limited,Yes,Yes,Yes,High,Reduced round and related key results; full cipher considered secure.,https://info.isl.ntt.co.jp/crypt/camellia/dl/reference/sac_camellia.pdf
Kuznyechik,SPN,256,High,Modern general purpose,Medium,128,Yes,Limited,Limited,Yes,Yes,High,No practical attacks (strong design); some S-box structural studies,https://www.rfc-editor.org/rfc/rfc7801?
SEED,Feistel,128,High,Modern general purpose,Medium,128,Yes,Limited,Yes,Yes,Yes,High,Only reduced round attacks; full cipher considered secure.,https://mojoauth.com/encryption-decryption/seed-128-encryption--c/
LEA,ARX-based,"128, 192, 256",High,Modern general purpose,Fast,128,Yes,Limited,Limited,Yes,Yes,High,Related key and reduced round attacks; full round parameters considered secure.,https://en.wikipedia.org/wiki/LEA_%28cipher%29?
Anubis,SPN,128–320 bits,High,Modern general purpose,Medium,128,No,Limited,Limited,Yes,Yes,Medium,Only reduced round cryptanalysis; no practical attacks on full cipher.,https://en.wikipedia.org/wiki/Anubis_%28cipher%29?
RC6,Feistel,"128, 192, 256",High,Research / niche,Fast,128,No,Limited,Limited,Limited,Yes,Medium,Reduced round cryptanalysis; full AES finalist has no practical break.,https://people.csail.mit.edu/rivest/pubs/RRSY98.pdf
NOEKEON,SPN,128,High,Research / niche,Fast,128,No,Yes,Limited,Limited,Limited,Medium,Some weak-key classes theoretically and and reduced round attacksno practical breaks,https://gro.noekeon.org/Noekeon-spec.pdf
SHACAL-2,Feistel,"128, 192, 256, 512",High,Research / niche,Slow,256,No,No,Limited,Limited,Limited,Medium,"No known practical vulnerabilities (only theoretical bounds), Reduced round attacks;",https://mojoauth.com/encryption-decryption/shacal-2-256-encryption--lua/
LOKI97,Feistel,"128, 192, 256",Medium,Research / niche,Medium,128,No,Limited,Limited,Limited,Limited,Low,No practical attacks; some differential/linear bounds exist,https://www.researchgate.net/publication/2331541_Introducing_the_new_LOKI97_Block_Cipher
MARS,Heterogeneous,128–448 bits,High,Research / niche,Medium,128,No,No,Limited,Limited,Limited,Medium,Attacks on reduced round versions; full AES finalist still unbroken in practice.,https://shaih.github.io/pubs/mars/mars.pdf
QARMA,Tweakable SPN,128 + tweak,High,Research / niche,Medium,128,No,Limited,Limited,Yes,Limited,Medium,Newer design; some reduced round analysis; full version currently unbroken.,https://www.researchgate.net/publication/374037584_The_QARMAv2_Family_of_Tweakable_Block_Ciphers
SAFER+,SPN,"128, 192, 256",High,Research / niche,Medium,128,No,Limited,Limited,Limited,Limited,Medium,Some differential and linear attacks on reduced rounds; full cipher remains secure.,https://csrc.nist.rip/encryption/aes/round1/conf2/papers/massey.pdf
Khazad,SPN,128,Medium,Research / niche,Medium,64,No,Limited,No,Limited,Limited,Medium,Reduced round attacks; 64 bit block limits large data usage.,https://www.researchgate.net/publication/238677892_Ciphers_KHAZAD_and_MISTY1
